iter	Accuracy	Logloss
0	0.7512223181	0.6085426013
1	0.7515099223	0.5591678067
2	0.7772505033	0.5193587836
3	0.7766752948	0.5005639551
4	0.7801265459	0.4890853202
5	0.7818521714	0.4709654106
6	0.787029048	0.4589360923
7	0.7911993097	0.4501105251
8	0.7940753523	0.4465813358
9	0.7965199885	0.440508164
10	0.8011216566	0.4329028762
11	0.801553063	0.4281392923
12	0.8021282715	0.4256830154
13	0.8025596779	0.4224867831
14	0.8041415013	0.4190754235
15	0.8051481162	0.4163757062
16	0.8052919183	0.4142645366
17	0.8057233247	0.4099945861
18	0.8080241588	0.4080123223
19	0.8087431694	0.4049389464
20	0.8091745758	0.4032657906
21	0.8110440035	0.401259512
22	0.8114754098	0.3998098611
23	0.8114754098	0.3975278282
24	0.8137762439	0.3964627799
25	0.8132010354	0.3945681427
26	0.8129134311	0.3928960771
27	0.8134886396	0.3918235737
28	0.8136324418	0.3906437538
29	0.8153580673	0.3886982838
30	0.8144952545	0.38721667
31	0.8147828588	0.3857665659
32	0.8152142652	0.384004257
33	0.8165084843	0.3830733106
34	0.8149266609	0.3817381615
35	0.8155018694	0.3807878987
36	0.8182341099	0.3798323246
37	0.8193845269	0.3786645809
38	0.8189531205	0.3776966919
39	0.8190969226	0.3767739353
40	0.8190969226	0.3760235471
41	0.8189531205	0.3750197033
42	0.8185217141	0.3738435037
43	0.8189531205	0.3732243706
44	0.8186655162	0.3724423145
45	0.8199597354	0.3714669351
46	0.8213977567	0.3703963149
47	0.8211101524	0.3692718164
48	0.8216853609	0.3679799063
49	0.8229795801	0.3658905962
50	0.823986195	0.3651233857
51	0.8248490078	0.3639875923
52	0.8248490078	0.363082227
53	0.8259994248	0.3618297455
54	0.8274374461	0.3605361935
55	0.8283002588	0.3594582311
56	0.8294506759	0.3584677069
57	0.8313201035	0.3568187028
58	0.8324705206	0.3554965349
59	0.834052344	0.3546375775
60	0.834052344	0.3539412435
61	0.834052344	0.3532254263
62	0.835202761	0.3522141741
63	0.8362093759	0.3512491997
64	0.8367845844	0.3505104482
65	0.8367845844	0.3495108782
66	0.8366407823	0.3482244712
67	0.8387978142	0.3467175087
68	0.83851021	0.345835278
69	0.8392292206	0.3447206656
70	0.8405234397	0.3439703995
71	0.841961461	0.3432992904
72	0.841961461	0.3427660231
73	0.8426804717	0.3416905307
74	0.8435432844	0.3400976123
75	0.8439746908	0.3392902943
76	0.8438308887	0.3383615609
77	0.8445498993	0.3374155319
78	0.8462755249	0.3361702157
79	0.8457003164	0.3356894967
80	0.8472821398	0.334703005
81	0.8472821398	0.3338924116
82	0.8492953696	0.3324869376
83	0.8491515674	0.3316490786
84	0.849726776	0.3309782629
85	0.8504457866	0.3295294654
86	0.8510209951	0.3289496147
87	0.8528904228	0.3278506394
88	0.8523152143	0.3275222239
89	0.8530342249	0.3266370521
90	0.8541846419	0.3257037083
91	0.8536094334	0.32506475
92	0.8554788611	0.3239943169
93	0.8561978717	0.323535496
94	0.856485476	0.3230317647
95	0.8563416739	0.3222880577
96	0.8569168824	0.3206292352
97	0.8582111015	0.3198831162
98	0.8580672994	0.3190585628
99	0.8586425079	0.3183603036
