iter	Passed	Remaining
0	2	236
1	4	213
2	6	205
3	8	197
4	10	191
5	12	189
6	14	187
7	16	187
8	19	202
9	23	210
10	27	220
11	30	226
12	36	247
13	38	238
14	41	233
15	43	226
16	44	219
17	46	213
18	48	208
19	50	203
20	53	201
21	55	197
22	57	194
23	59	189
24	61	184
25	63	180
26	65	176
27	67	172
28	68	168
29	70	165
30	73	163
31	75	159
32	77	156
33	78	153
34	82	152
35	83	149
36	85	146
37	87	142
38	89	139
39	91	136
40	93	133
41	94	131
42	96	128
43	98	125
44	100	122
45	102	119
46	104	117
47	105	114
48	107	112
49	109	109
50	111	106
51	112	104
52	119	105
53	121	103
54	122	100
55	124	98
56	126	95
57	128	92
58	129	90
59	133	89
60	135	86
61	136	83
62	138	81
63	140	78
64	142	76
65	143	74
66	145	71
67	147	69
68	149	67
69	151	64
70	153	62
71	157	61
72	161	59
73	163	57
74	165	55
75	166	52
76	168	50
77	170	48
78	172	45
79	174	43
80	176	41
81	179	39
82	182	37
83	185	35
84	187	33
85	189	30
86	191	28
87	193	26
88	195	24
89	197	21
90	199	19
91	201	17
92	203	15
93	205	13
94	209	11
95	212	8
96	214	6
97	217	4
98	219	2
99	222	0
